element_global_id	obsoletename	obsoletenote	obsoletedate	obsoleteauthority
860703	Hawaiian Dry Forest		1/21/2016	K. Schulz
685533	<i>Acer barbatum - Aesculus glabra - Carya myristiciformis - Quercus shumardii - Quercus muehlenbergii</i> Forest		1/25/2016	M. Pyne
899050	<i>Alnus oblongifolia</i> Flooded Forest Alliance		1/26/2016	D. Faber-Langendoen
899052	<i>Juglans major - Juglans microcarpa</i> Flooded Forest Alliance		1/26/2016	D. Faber-Langendoen
899853	<i>Platanus wrightii</i> Flooded Forest Alliance		1/26/2016	D. Faber-Langendoen
899854	<i>Populus deltoides ssp. wislizeni - Populus deltoides ssp. monilifera</i> Flooded Forest Alliance		1/26/2016	D. Faber-Langendoen
899855	<i>Populus fremontii - Fraxinus velutina - Salix gooddingii</i> Flooded Forest &amp; Woodland Alliance		1/26/2016	D. Faber-Langendoen
898995	<i>Washingtonia filifera</i> Flooded Woodland Alliance		1/26/2016	D. Faber-Langendoen
899485	<i>Acer spicatum / Picea glauca / Clintonia borealis</i> Scrub Alliance		1/27/2016	M. Russo
899182	<i>Polygonum</i> spp. Wet Meadow Shoreline Alliance		1/27/2016	M. Russo
788077	<i>Liquidambar styraciflua - Carya illinoinensis - Quercus nigra</i> Ruderal Forest		1/28/2016	M. Pyne
899133	<i>Juncus militaris</i> Marsh Alliance		1/28/2016	M. Russo
898957	<i>Cliftonia monophylla</i> Swamp Forest Alliance		1/28/2016	M. Russo
686508	<i>Vitis rotundifolia - Ampelopsis arborea - Campsis radicans</i> Successional Wet Vine-Shrubland		1/30/2016	M. Pyne
684064	<i>Prunus serotina / Morella cerifera / Smilax rotundifolia</i> Scrub Fores		1/30/2016	M. Russo
687105	<i>Baccharis halimifolia</i> Successional Shrubland		2/1/2016	M. Pyne
688037	<i>Pontederia cordata - Peltandra virginica</i> Marsh [Placeholder]	elevated	2/1/2016	M. Pyne
932908	Northern Rocky Mountain Lowland &amp; Foothill Riparian Forest		2/2/2016	M. Russo
787677	<i>Deschampsia caespitosa - Vernonia noveboracensis</i> Grassland		2/2/2016	M. Russo
899315	Tamaulipan <i>Acacia rigidula - Leucophyllum frutescens - Acacia berlandieri</i> Calcareous Thornscrub Alliance		2/3/2016	M. Russo
899389	<i>Fagus grandifolia - Quercus rubra</i> Piedmont / Ridge and Valley Forest Alliance		2/4/2016	M. Russo
899394	<i>Pinus echinata - Quercus falcata</i> Upper Coastal Plain Alliance		2/4/2016	M. Russo
686997	<i>Pinus taeda - Liquidambar styraciflua - Nyssa biflora</i> Floodplain Forest		2/2/2016	M. Pyne
837022	<i>Scaevola plumieri - Suriana maritima - Ipomoea pes-caprae</i> Beach Vegetation Group		2/3/2016	C. Nordman
899500	<i>Tsuga heterophylla - Pseudotsuga menziesii</i> / Serpentine Soil Forest Alliance		2/4/2016	M. Russo
860832	Caribbean Moist Shortgrass Savanna Group		2/4/2016	C. Nordman
899656	California Acidic Graminoid Fen Alliance		2/4/2016	M. Russo
899658	California Acidic Shrub Fen Alliance		2/4/2016	M. Russo
833241	<i>Quercus michauxii - Quercus laurifolia - Liquidambar styraciflua</i> Bottomland Forest Group		2/5/2016	D. Faber-Langendoen
899726	<i>Abies concolor - Pseudotsuga menziesii</i> Coastal, Cascade &amp; Sierran Forest Alliance		2/5/2016	M. Russo
900073	Rocky Mountain Alpine Non-vascular Bedrock &amp; Scree Alliance		2/5/2016	M. Russo
885033	<i>Cladium mariscus ssp. jamaicense - Eleocharis cellulosa - Panicum hemitomon</i> Macrogroup		2/22/2016	D. Faber-Langendoen
860641	<i>Fouquieria splendens - Atriplex hymenelytra - Amaranthus watsonii</i> North American Cliff, Scree &amp; Rock Vegetation Macrogroup		2/22/2016	D. Faber-Langendoen
857027	<i>Schizachyrium scoparium - Bifora americana - Paspalum plicatulum</i> Grassland Group		2/22/2016	D. Faber-Langendoen
860672	Great Plains Shortgrass Prairie		2/22/2016	D. Faber-Langendoen
848779	South Florida Freshwater Marsh		2/22/2016	D. Faber-Langendoen
837646	Rocky Mountain Subalpine-Montane Mesic Grassland &amp; Meadow		2/22/2016	D. Faber-Langendoen
885451	Eastern North American Sub-boreal Acidic Bog &amp; Fen		2/22/2016	D. Faber-Langendoen
885451	Eastern North American Sub-boreal Acidic Bog &amp; Fen Group		2/22/2016	D. Faber-Langendoen
686818	<i>Leymus cinereus</i> Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
683875	<i>Alnus (incana, viridis ssp. sinuata) / Lysichiton americanus - Oenanthe sarmentosa</i> Shrubland		2/22/2016	D. Faber-Langendoen/J. Rocchio
687657	<i>Lysichiton americanus</i> Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
689821	<i>Oenanthe sarmentosa</i> Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
688967	<i>Carex densa - Eleocharis palustris</i> Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
799477	<i>Mimulus guttatus</i> - (<i>Mimulus</i> spp.) Wet Meadow		2/22/2016	D. Faber-Langendoen/J. Rocchio
683905	<i>Ledum groenlandicum - Myrica gale / Sphagnum</i> spp. Fen		2/22/2016	J. Rocchio
867659	Hawaiian Montane-Subalpine Mesic Forest Group		5/26/2016	K. Schulz
867660	Hawaiian Montane Ruderal Forest &amp; Woodland Group		5/26/2016	K. Schulz
860856	Hawaiian Ruderal Flooded &amp; Swamp Forest Group		5/26/2016	G. Kittel
860784	Hawaiian Ruderal Mangrove Group		5/26/2016	G. Kittel
791994	<i>Rhus trilobata - Ephedra (viridis, torreyana)</i> Talus Shrubland		8/24/2016	M. Reid
685424	<i>Phragmites australis</i> Temperate Upland Ruderal Marsh		2/17/2016	M. Pyne
860416	<i>Atriplex</i> spp. - <i>Ephedra</i> spp. - <i>Eriogonum</i> spp. Intermountain Basins Cliff, Scree &amp; Badland Sparse Vegetation Macrogroup		2/22/2016	D. Faber-Langendoen
856717	<i>Bouteloua gracilis - Buchloe dactyloides - Pleuraphis jamesii</i> Great Plains Prairie Group		2/22/2016	D. Faber-Langendoen
860672	<i>Bouteloua gracilis - Buchloe dactyloides</i> Great Plains Shortgrass Prairie Macrogroup		2/22/2016	D. Faber-Langendoen
833194	South Florida Slash Pine Woodland		2/22/2016	D. Faber-Langendoen
860884	Polynesian Ruderal Lowland Rainforest Group		5/26/2016	K. Schulz
860726	Hawaiian Riparian &amp; Floodplain Forest &amp; Shrubland Group		5/26/2016	K. Schulz
860793	Hawaiian Montane-Subalpine Mesic-Wet Shrubland &amp; Grassland Group		5/26/2016	K. Schulz
860751	Hawaiian Bog Group		5/26/2016	K. Schulz
860815	Polynesian Ruderal Dry Woodland &amp; Scrub Group		5/26/2016	K. Schulz
860875	Hawaiian Lowland Dry Shrubland &amp; Grassland Group		5/26/2016	K. Schulz
860801	Hawaiian Lowland Mesic-Wet Shrubland &amp; Grassland Group		5/26/2016	K. Schulz
860807	Hawaiian Alpine Bedrock &amp; Scree Group		5/27/2016	K. Schulz
900047	Coastal Plain / Piedmont Cliff Alliance		2/5/2016	M. Russo
