element_global_id	parentsubtypecode	parentsubtypenote
683349	A0150a	
689577	A0150b	
689885	A0150b	
687398	A0150b	
684832	A0150b	
685368	A0150b	
683584	A0150b	
689237	A0524a	
688606	A0524a	
686132	A0524a	
683539	A3477a	
683438	A3477a	
686852	A3477b	
683412	A3477b	
684576	A3477b	
688058	A3477b	
688231	A3601a	[nitrogen-poor soils]
686607	A3601a	
689043	A3601a	
686625	A3601a	
684955	A3601b	
687828	A3601b	[very moist water-receiving sites, nitrogen-medium sites]
689626	A3601b	
685009	A3601b	
685453	A3601b	
685454	A3601b	
686954	A3481a	
685409	A3481a	
686925	A3481a	
689206	A3481a	
684360	A3481b	
689666	A3481b	
689513	A3481b	
685030	A3481b	
688461	A3481b	
688617	A3480a	
686351	A3480b	
685752	A3480b	
685201	A3104a	[Disturbed phase??]
683806	A3104a	
685724	A3104a	
685175	A3104b	
686394	A3104c	
687152	A3104c	
685690	A3759a	Central-South
689057	A3759a	Central
785197	A3759a	Central
687909	A3759a	Central
688123	A3759a	Central
684097	A3759a	Central
687460	A3759b	North
683572	A3759b	North - West
683819	A3759c	South
684957	A3759c	Central - South
737558	A3759c	South
737530	A3759d	Throughout
738782	A3759d	Throughout
688130	A3759d	Throughout
687195	A3759d	Throughout
686288	A3759d	Throughout
684936	A3759d	Throughout
686160	A3759d	Throughout
686014	A3759d	Throughout
689020	A3759d	Throughout
685589	A3759d	Throughout
683422	A3759d	Throughout
689856	A3759d	Throughout
683405	A3759d	Throughout
686612	A3759d	Throughout
790693	A3759d	Throughout
769594	A3759d	Throughout
684864	A4067a	
685070	A4067a	
685919	A4067a	
685615	A4067a	
683538	A4067b	
683706	A4067b	
899895	M495b	
