element_global_id	predecessor_id	predecessorCode	predecessorName	predecessorSciname	predecessorColloquialname	lineageDate	lineageNote	lineageAuthorizedBy
971941	899267	A3142	Lycium andersonii - Lycium cooperi Scrub Alliance	<i>Lycium andersonii - Lycium cooperi</i> Scrub Alliance	Water Jacket - Peach-thorn Scrub	11/11/2016	3140 Ephedra nevadensis Scrub Alliance and A3142 Lycium andersonii - Lycium cooperi Scrub Alliance merged into A4245 Ephedra nevadensis - Lycium cooperi - Grayia spinosa Scrub Alliance.	K. Schulz
971941	899265	A3140	Ephedra nevadensis Scrub Alliance	<i>Ephedra nevadensis</i> Scrub Alliance	Nevada Joint-fir Scrub	11/11/2016	A3140 Ephedra nevadensis Scrub Alliance and A3142 Lycium andersonii - Lycium cooperi Scrub Alliance merged into A4245 Ephedra nevadensis - Lycium cooperi - Grayia spinosa Scrub Alliance.	K.A. Schulz
686562	948017	CEGL005608	Pseudoroegneria spicata - Poa secunda - Balsamorhiza sagittata Grassland	<i>Pseudoroegneria spicata - Poa secunda - Balsamorhiza sagittata</i> Grassland		3/7/2017	CEGL005608 was determined to be a duplicate of CEGL001662; the concept of CEGL001662 has not changed.	M. Reid
979552	687467	CEGL003211	Tsuga mertensiana - Chamaecyparis nootkatensis / Vaccinium ovalifolium - Gaultheria shallon Woodland	<i>Tsuga mertensiana - Chamaecyparis nootkatensis / Vaccinium ovalifolium - Gaultheria shallon</i> Woodland		2/2/2017	lump (PNWCOAST_307)	Coastal Correlation
979552	687943	CEGL003214	Tsuga mertensiana - Chamaecyparis nootkatensis / Gaultheria shallon Woodland	<i>Tsuga mertensiana - Chamaecyparis nootkatensis / Gaultheria shallon</i> Woodland		2/2/2017	lump (PNWCOAST_307	Coastal Correlation
979451	689874	CEGL000116	Tsuga heterophylla / Tiarella trifoliata - Gymnocarpium dryopteris Forest	<i>Tsuga heterophylla / Tiarella trifoliata - Gymnocarpium dryopteris</i> Forest		1/17/2017	split (PNWCOAST_256)	Coastal Correlation
979430	689874	CEGL000116	Tsuga heterophylla / Tiarella trifoliata - Gymnocarpium dryopteris Forest	<i>Tsuga heterophylla / Tiarella trifoliata - Gymnocarpium dryopteris</i> Forest		1/17/2017	split (PNWCOAST_192)	Coastal Correlation
979445	687721	CEGL000060	Picea sitchensis / Rubus spectabilis Riparian Forest	<i>Picea sitchensis / Rubus spectabilis</i> Riparian Forest		1/17/2017	split (PNWCOAST_317)	Coastal Correlation
979465	687721	CEGL000060	Picea sitchensis / Rubus spectabilis Riparian Forest	<i>Picea sitchensis / Rubus spectabilis</i> Riparian Forest		1/17/2017	split (PNWCOAST_067); this part has PSME, non-Psme new type from WA Pisi-(ALRU)/RUSP/POMU Kratz 1975, not in Coastal Analysis	Coastal Correlation
979417	687544	CEGL000330	Abies lasiocarpa / Rhododendron albiflorum Woodland	<i>Abies lasiocarpa / Rhododendron albiflorum</i> Woodland		1/14/2017	split (PNWCOAST_032)	Coastal Correlation
971702	687871	CEGL001263	Larrea tridentata - Atriplex confertifolia Shrubland	<i>Larrea tridentata - Atriplex confertifolia</i> Shrubland		11/30/2016	CEGL001263 was a duplicate of CEGL005757; the concept of CEGL005757 has not changed.	K. Schulz
979475	686606	CEGL003226	Tsuga heterophylla - Thuja plicata / Vaccinium ovalifolium - Gaultheria shallon / Lysichiton americanus Woodland	<i>Tsuga heterophylla - Thuja plicata / Vaccinium ovalifolium - Gaultheria shallon / Lysichiton americanus</i> Woodland		2/1/2017	split (PNWCOAST_268+316)	Coastal Correlation
687100	688528	CEGL002959	Forestiera pubescens Mojave Desert Wet Shrubland	<i>Forestiera pubescens</i> Mojave Desert Wet Shrubland		1/20/2017	CEGL002959 was a duplicate of CEGL001168; the concept of CEGL001168 has not changed.	K. Schulz
979475	685024	CEGL002670	Thuja plicata - Tsuga heterophylla / Lysichiton americanus Swamp Forest	<i>Thuja plicata - Tsuga heterophylla / Lysichiton americanus</i> Swamp Forest		1/17/2017	lump/split (PNWCOAST_268+316)	Coastal Correlation
979503	684893	CEGL000421	Pseudotsuga menziesii - Arbutus menziesii / Gaultheria shallon Forest	<i>Pseudotsuga menziesii - Arbutus menziesii / Gaultheria shallon</i> Forest		1/17/2017	lumped (PNWCOAST_159)	Coastal Correlation
979410	687544	CEGL000330	Abies lasiocarpa / Rhododendron albiflorum Woodland	<i>Abies lasiocarpa / Rhododendron albiflorum</i> Woodland		1/14/2017	split (PNWCOAST_030)	Coastal Correlation
942470	689180	CEGL000499	Tsuga heterophylla / Xerophyllum tenax Forest	<i>Tsuga heterophylla / Xerophyllum tenax</i> Forest		1/12/2017	lump (PNWCOAST_203)	Coastal Correlation
860870	860873	G444	Hawaiian Ruderal High Montane Cliff, Scree & Rock Vegetation	Hawaiian Ruderal High Montane Cliff, Scree &amp; Rock Vegetation Group	Hawaiian Ruderal High Montane Cliff, Scree & Rock Vegetation	5/26/2016	The vegetation in this group is covered by G418 (merge).	K.A. Schulz
860776	860788	G441	Hawaiian Ruderal Dry-Site Lava Flow	Hawaiian Ruderal Dry-Site Lava Flow Group	Hawaiian Ruderal Dry-Site Lava Flow	5/26/2016	The vegetation in this group is covered by G413 (merge).	G. Kittel
